features/geometry/type,features/geometry/coordinates/0,features/geometry/coordinates/1,features/type,features/properties/mb_lengte,features/properties/breedte_in_m,features/properties/wgs84_geo_e,features/properties/sunk_in_period,features/properties/bodemdiepte_oud,features/properties/wgs84_geo_n,features/properties/bazoverzicht,features/properties/code_diepte,features/properties/totaal,features/properties/thuishaven,features/properties/opmerkingen,features/properties/mb_30,features/properties/datedredged,features/properties/mb_breedte,features/properties/tonnenmaatbruto,features/properties/codetermote,features/properties/depth_20,features/properties/nationaliteit,features/properties/code_vaargeul,features/properties/bouwjaar,features/properties/vorige_diepten,features/properties/code_lengte,features/properties/length_5,features/properties/opgeruimd_tot_op,features/properties/code_historiek,features/properties/teken_op_kaart,features/properties/lengte_in_m,features/properties/lading,features/properties/code_teken,features/properties/bodemdiepte_aangepast,features/properties/berging_datum,features/properties/termote,features/properties/dredgeddepth,features/properties/mb_strekking,features/properties/holte_in_m,features/properties/wraknummer,features/properties/teken_10,features/properties/gevonden_door,features/properties/opgeruimd_door_firma,features/properties/type_schip,features/properties/totaal_klasse,features/properties/name,features/properties/side_scan,features/properties/multibeam,features/properties/utm_31n_northing,features/properties/fairway_35,features/properties/datefound,features/properties/utm_31n_easting,features/properties/werf,features/properties/gezonken_op,features/properties/bijzondere_opmerkingen,features/properties/eigenaar,features/properties/code_mb,features/properties/hout___staal,features/id
Point,2.658781469606482,51.151422263927714,Feature,29,,002\xb0 39.527 E,99,0,51\xb0 09.085 N,,5,"40,00",,,0,,,,2,20,,1,,,3,3.75,,5,"01,4 Wk__",,,3,4.76,,12,,,,B_109_239b,7.5,Geosurveyor IV,,,5,N.140 Charles Velghe,,2015/12/02,476134.88,8.75,,5666719.18,,,,,0,,69
Point,2.655040394446983,51.36544948173468,Feature,20,,"002\xb0 39,302 E",99,0,"51\xb0 21,927 N",,3,"64,25",,,6,,,,3,12,,4,,,3,3.75,,,,,,3,23.63,,,,,,B_122_239_b,7.5,Eurosense,,,3,onbekend,,2015/03/16,475985,35,,5690522,,,NIEUW,,1,,284
Point,2.606944847080998,51.76911401147145,Feature,60,"15,00","002\xb0 36,417 E",99,"40,01","51\xb0 46,147 N",,2,"61,50",,,6,,"15,00",,3,8,,4,,,4,5,,,,"60,00",,3,31.19,,,,"145,00","9,50",B_146_236,7.5,Ter Streep,,,3,onbekend,,2012/08/21,472878,35,2012/08/21,5735432,,,,,1,,291
Point,3.295333419148679,51.39583395560912,Feature,u,"17,25","003\xb0 17,720 E",2,"11,40","51\xb0 23,750 N",1994 / 19 - 126,5,"63,75",-,,30,,,"5338,00",1,20,Panamees,1,1932,"zichtbaar bij LW ; 11,4 Wk__",2,2.5,bodem,4,#,"135,00",ballast,1,8.77,1960/05/05,211,"11,40",,"7,80",B_123_317_b,2.5,,Ackermans & Van Haaren,Vrachtschip,3,LOOK-OUT,,,520546.58,8.75,,5693886,Odens Stalenskilisaftved A.P. Moller-Odense,1944/12/12,Op 12 december 1944 stootte het schip op een wrak en zonk voor Knokke. In 1960  werd de LOOK-OUT opgeruimd tot de omringende bodem door Ackermans & Van Haaren.,U.S. Maritime Commission,5,Staal,211
Point,2.401863355542075,51.35502478767827,Feature,69,,"002\xb0 24,112 E",99,"24,00","51\xb0 21,301 N",1997 / 05 - 069,3,59.50,_,,0,1978/06/15,"15,00",,1,12,Frans,4,1919,"21,0 Wk__ GLLWS",4,5,,0,"20,9 Wk__",,_,3,21.25,,145,"21,00",129,,B_121_224,7.5,,-,Tanker,4,SAINT PATRICE,,2018/08/29,458350.27,35,,5689475.99,-,1923/01/01,"Duikersonderzoek uitgevoerd in 1978 onder leiding van commandant Couwenbergh ( Marine) met het schip ""Valcke"".
Bevindingen van de duikers in 1978: wrak rechtop , voor- en achtersteven 11 m boven de bodem, lengte ongeveer 100 m breedte 11 m. Grondtakel, lieren, sleepbeting, reserveschroef en hekanker op het dek aangetroffen.

Duikersonderzoek van TT in 2005
Het blijkt om een Franse tanker te gaan, ge\xefdentificeerd aan de bel. Het bouwjaar is 1919 en gezonken in 1923.

B_121_224

Midden 51\xb0 21'.301 - 002\xb0 24'.112
Pt_01  51\xb0 21'.318 - 002\xb0 24'.085
Pt_02  51\xb0 21'.286 - 002\xb0 24'.142

Dieptecijfer gewijzigd naar LAT",-,0,staal,145
Point,2.79322192482995,51.31461994232893,Feature,"3,75","3,73","002\xb0 47,593 E",99,"16,20","51\xb0 18,877 N",1995 / 24 - 157,4,"57,50",-,,24,1995/11/09,"1,25",,1,16,Belg,1,,"14,0 Wk__ GLLWS",1,1.25,-,5,"13,9 Wk__","12,80",-,3,15.4,,124,"14,00","284,04",,B_118_247,7.5,,-,Polyester zeiljacht,4,APACHE,,1995/11/09,485588.82,8.75,1995/11/09,5684833.06,-,1995/07/21,"Op 21/07/1995 brandde het Belgisch pleziervaartuig ""Apache"" uit en zonk in vermelde positie.

B_118_247

Midden 51\xb0 18'.877 - 002\xb0 47'.593
Pt_01  51\xb0 18'.878 - 002\xb0 47'.595
Pt_02  51\xb0 18'.877 - 002\xb0 47'.594

Dieptecijfer gewijzigd naar LAT","Vandewalle J. Wezellaan,8 8400 Oostende",4,Polyester,123
Point,2.883076385316023,51.286111566677526,Feature,u,,"002\xb0 52,985 E",99,"7,00","51\xb0 17,167 N",1997 / 06 - 073,5,"39,75",Nieuwpoort,,6,1981/11/09,,"33,73",1,20,Belgisch,1,,"zichtbaar bij LW ; 0,5 Wk__ ; 2,4 Wk__ ; 5,0 Wk__",2,2.5,,5,#,,-,1,6.36,,108,"5,00",,,B_117_253_a,2.5,,-,Vissersboot,6,N.741 HOOP OP VREDE,,2014/04/23,491846.08,8.75,,5681648.85,"J. Denye, Nieuwe Werfkaai, Oostende",1967/08/15,Duikersonderzoek uitgevoerd op 08/07/1988 door Tijdelijke Vereniging voor Bergingswerken . Volgens het rapport liggen er verspreide brokstukken over een oppervlakte van 11 m op 7 m. De omringende diepte is bepaald op 7 m tov het lokale H-vlak.,"am. Desaever Henri & Nestor, Nieuwpoort",1,Hout,107
Point,2.491730868638241,51.40514426010863,Feature,"23,33",,"002\xb0 29,504 E",99,"30,80","51\xb0 24,309 N",1997 / 05 - 069,2,"47,00",Nieuwpoort,,24,1988/08/05,"7,50","48,82",1,8,Belgisch,1,1963,"22,9 Wk , 26 Wk__",3,3.75,,5,#,,-,1,30.82,,222,"26,30","318,00",,B_124_229,2.5,,-,Vissersboot,5,N. 591  DAGERAAD,,1999/07/02,464646.56,8.75,,5695002.59,"L. Degraeve, Zeebrugge",1976/09/23,"Het houten schip vatte vuur door een oververhitte schroefas, de bemanning werd gered door de N 346.

B_124_229

Midden 51\xb0 24'.309 - 002\xb0 29'.504
Pt_01  51\xb0 24'.313 - 002\xb0 29'.500
Pt_02  51\xb0 24'.306 - 002\xb0 29'.512","Rene Coulier - Desaever, Nieuwpoort",4,Hout,222
Point,2.725686738557437,51.367093049102394,Feature,55,"13,44","002\xb0 43,541 E",99,"20,20","51\xb0 22,026 N",2002 / 22 - 134,4,82.50,Rostock,,24,1983/12/13,"5,83","1838,00",1,16,Oost-Duits,4,1946,"6,5 Wk, 2,8 Wk__ , 9,0 Wk__ , 15 Wk__ , 16,5 Wk_",4,5,bodem,5,#,"98,10",-,1,19.99,1966/09/21,165,"16,50","127,26","5,91",B_122_243_a,2.5,,,Koopvaardijschip,1,KAP ARKONA,,1995/08/18,480903.85,35,,5690684.02,Kockums Mek. Verkst. Malm\xf6,1964/01/18,"In 1988 werd een duikersonderzoek uitgevoerd. Hieruit blijkt dat het hoogste punt van het wrak nog 5 m boven de omringende bodem uitsteekt. Van 1946 tot 1958 gevaren onder de naam B.O. B\xf6rjesson - Gorthons Rederier Helsingborg Suede. Van 1958 tot 1964 was de naam gewijzigd in KAP ARKONA  - Deutsche Seereederei  V.E.B. Rostock Deutsche Democratische Republik. Op 19 januari 1964 werd het schip aangevaren door de Noorse tanker IDA Knudsen (20592 bruto register ton) en zonk in hoger vermelde positie. De Belgische loodsboot  5 kon 30 bemanningsleden in veiligheid brengen. Het wrak werd gedeeltelijk opgeruimd tot op een diepte van 150 dm ten opzichte van het lokale GLLWS - vlak. 

In 2002 werd het wrak volledig opgeruimd tot omringende bodem en zelfs nog dieper ( 22 m).","Deutsche Seereederei, Rostock",4,staal,165
Point,2.929778427545315,51.35944431888759,Feature,0,"19,80","002\xb0 55,787 E",99,"14,70","51\xb0 21,567 N",1986 / 26 - 142,4,"39,50",-,,6,1986/11/03,,"4200,00",1,16,Frans,1,,"zichtbaar wrak; 14,0 Wk__ GLLWS",1,1.25,bodem,5,"13,9 Wk__","136,00",450 Ton Uranium Hexafluoride UF6 radioaktief,3,14.42,,149,"14,00",,,B_121_255,7.5,,Norma,Ro-ro schip,6,MONT LOUIS,,2015/03/13,495110.75,8.75,,5689800.03,-,1984/08/25,"Het wrak werd opgeruimd tot op de bodem door TV Bergingswerken met de NORMA, Zeebrugge 1 , Ram en Bizon.

Dieptecijfer gewijzigd naar LAT",-,1,Staal,149
Point,2.577285315883364,51.38099375798088,Feature,"37,5",,"002\xb0 34,637 E",99,"25,00","51\xb0 22,860 N",1996 / 17 - 129,3,"65,50",-,,6,1989/04/20,"13,33","1503,00",1,12,Brits,4,,"20,7 Wk__ GLLWS",4,5,-,5,"20,6 Wk__",,Zeezand,3,25.08,,192,"20,70","287,20",,B_122_234_b,7.5,,-,Zandzuiger,3,BOWSPRITE  (boeg),,2015/04/07,470581.92,35,,5692279.01,-,1988/12/05,"Door duikers Hoffmann en Peters werd het wrak geidentificeerd als de Bowsprite.   Zie ook dossier B122/234 a

B_122_234_b

Midden 51\xb0 22'.860 - 002\xb0 34'.637
Pt_01  51\xb0 22'.867 - 002\xb0 34'.631
Pt_02  51\xb0 22'.853 - 002\xb0 34'.651

Dieptecijfer gewijzigd naar LAT","Southcoast Shipping Cy.,  Great-Britain",1,Staal,192
Point,2.532977042762925,51.3846102713422,Feature,"45,83","8,15","002\xb0 31,979 E",99,"27,00","51\xb0 23,077 N",1997 / 05 - 069,3,"65,50",Hamburg,,6,1984/06/26,"9,17","298,00",1,12,Duits,4,1955,"15 Wk; 20,0 Wk__ GLLWS",4,5,-,5,"19,9 Wk__","45,50",schroot (chassis auto's),3,24.16,,200,"20,00","185,39","2,50",B_123_232,7.5,,-,Kustvaarder,3,QUO VADIS,,2015/05/08,467500.94,35,,5692699.91,"Busumer Schiffsw. W.& E. Sielaff, Bqsum",1968/02/03,"Gezonken op 13/02/1968 na aanvaring met Griekse tanker PAVLOS V  op weg van Shoreham naar Terneuzen. Duikersonderzoek werd in 1978 uitgevoerd door de zeemacht .

B_123_232

Midden  51\xb0 23'.077 - 002\xb0 31'.979
Pt_01   51\xb0 23'.088 - 002\xb0 31'.983
Pt_02   51\xb0 23'.064 - 002\xb0 31'.980

Dieptecijfer gewijzigd naar LAT","Heinrich Buck, Hamburg",1,staal,200
Point,2.474313672515782,51.38555854140245,Feature,89,"13,60","002\xb0 28,459 E",99,"30,00","51\xb0 23,134 N",1997 / 05 - 069,3,"56,75",Napels,,6,1984/07/06,"17,00","3202,00",1,12,Nederlands,3,1918,"15 Wk ; 19,5 Wk__ GLLWS",4,5,,"2,50","19,4 Wk__","90,90",Zout & Fosfaten,3,27.08,,201,"19,50","197,00","7,50",B_123_228,7.5,,-,Stoomschip,4,LAURA,,2015/05/08,463419.47,26.25,,5692833,"Wallace Shipyards, Ltd. Vancouver, B.C.",1924/12/23,"Het Nederlands stoomschip de ""LAURA"" zonk in 1924 na een aanvaring met het Britse stoomschip ""LORENZO"". In 1978 werd het wrak  door duikers van de zeemacht onderzocht. Het steekt ongeveer 9 m boven de omringende bodem uit en staat recht op de bodem. Het voorschip is verwoest, de ruimen zijn leeg, de opbouw op de spanten na zijn verdwenen. Het achterschip staat rechtop , roer en schroef zijn nog aanwezig.B_123_228Midden 51\xb0 23'.134 - 002\xb0 28'.459Pt_01  51\xb0 23'.156 - 002\xb0 28'.473Pt_02  51\xb0 23'.109 - 002\xb0 28'.452Dieptecijfer gewijzigd naar LAT","Gulf Stoomboot Maatschappij (De Poorter), Rotterdam.",1,staal,201
Point,2.688979524631729,51.48228176657386,Feature,"44,17","8,00","002\xb0 41,339 E",1,"27,90","51\xb0 28,937 N",1987 / 24 - 155,3,"57,25",Hamburg,,24,1987/07/26,"9,17","292,00",1,12,Duits,1,1927,"18,8 Wk ; 21,5 Wk ;21,0 Wk__ GLLWS",4,5,,3,"20,9 Wk__","46,00",-,3,28.87,,251,"21,20","284,00",,B_128_241,7.5,,-,Stoomschip,4,JOHN MAHN/Vorpostenboot V1302,,1997/04/03,478402.87,8.75,,5703504.53,Reiherst Schiffswerke,1942/02/01,"De JOHN MAHN werd door de Duitse marine gebruikt als voorpost. In februari 1942 werd deze stoomtreiler door een luchtaanval van de Royal Air Force  tot zinken gebracht. Het wrak ligt op zijn stuurboordzijde.

B_128_241

Midden 51\xb0 28'.937 - 002\xb0 41'.339
Pt_01  51\xb0 28'.935 - 002\xb0 41'.360
Pt_02  51\xb0 28'.940 - 002\xb0 41'.322

Dieptecijfer gewijzigd naar LAT",Duitsland,4,Staal,250
Point,2.540508168132975,51.13582049315639,Feature,"18,33",,"002\xb0 32,430 E",99,"14,20","51\xb0 08,149 N",1996 / 17 - 129,4,55.00,Nieuwpoort,,24,1988/04/29,"6,67","12,50",1,16,Belgisch,1,1945,"114 dm Wk__  , 12,4 Wk__",3,3.75,,5,#,,-,1,14.29,,5,"12,40","60,95",,B_108_232a,2.5,,-,Vissersboot,4,N.711  ROBERT-CLARA,,1995/10/27,467851.94,8.75,,5665029.19,"J. Provoost, Nieuwpoort",1957/06/12,"De N 711, voordien N 20 genoemd, zonk na een aanvaring met O.77 Jeannine op 12 juni 1957.","Renaat Asaert, Hoogstraat 17, Nieuwpoort",4,Hout,62
Point,2.881027809470645,51.30032791430991,Feature,"55,7","8,41","002\xb0 52,862 E",99,"8,50","51\xb0 18,020 N",1981 / 21 - 069,5,41.25,-,,0,1981/09/29,"9,8","499,00",1,20,Panamees,1,,"zichtbaar wrak; 01,9 Wk__ GLLWS",4,5,-,5,"01,8 Wk__","51,75",500 ton staal,3,4,,119,"1,90","55,9","3,43",B_118_252,7.5,,-,Koopvaardijschip,5,NAUTICUS ENA,,2018/05/31,491705.78,8.75,,5683230.07,-,1974/09/28,"Gezonken door aanvaring met Duitse THURINGIA.  Duikersonderzoek uitgevoerd door TV Bergingswerken op 01/09/1988.

B_118_252

Midden 51\xb0 18'.020 - 002\xb0 52'.862
Pt_01  51\xb0 18'.028 - 002\xb0 52'.880
Pt_02  51\xb0 18'.012 - 002\xb0 52'.842

Dieptecijfer gewijzigd naar LAT",Panama,0,Staal,118
Point,2.501204407990557,51.16270349483103,Feature,"11,67",,"002\xb0 30,072 E",99,"14,00","51\xb0 09,762 N",1997 / 05 - 069,4,"60,00",-,,24,1985/05/22,"4,58",,1,16,-,1,,"12,7 Wk__ GLLWS",3,3.75,-,6,"12,5 Wk__",,-,3,15.14,,15,"12,70","178,03",,B_109_230,7.5,,-,,4,onbekend,,1996/07/05,465122.36,8.75,,5668036.64,-,,"Gerapporteerd door duiker aan hydrografisch bureau  in Taunton (Ministry of Defence Telex 46274)

B_109_230

Midden 51\xb0 09'.762 - 002\xb0 30'.072
Pt_01  51\xb0 09'.766 - 002\xb0 30'.074
Pt_02  51\xb0 09'.760 - 002\xb0 30'.074

Dieptecijfer gewijzigd naar LAT",-,4,-,72
Point,3.086694558067552,51.378603907581386,Feature,"146,58","19,00","003\xb0 05,202 E",99,"9,60","51\xb0 22,716 N",1997 / 05 - 069,5,"65,25",Gothenburg,,24,1986/06/23,"21,92","6095,00",1,20,Zweeds,1,1937,"3,5 Wk__, 3,3 Wk__; 05,7 Wk__ GLLWS",4,5,-,"2,50","05,7 Wk__","146,00",-,3,8.44,,186,"5,70","268,94",,B_122_305,7.5,,-,Stoomschip,3,NIPPON,,1995/04/14,506033.68,8.75,,5691932.01,Gotaverken A/B Gothenburg,1938/09/14,Dieptecijfer ongewijzigd in LAT,Svenska Ostasiatiska Kompaniet,4,Staal,186
Point,2.583389746168884,51.137105142251826,Feature,107,"9,70","002\xb0 35,003 E",2,"4,00","51\xb0 08,226 N",1999 / 20 - 147,5,47.25,-,,6,1988/04/29,"7,20","1360,00",1,20,Brits,1,1930,"gevaarlijk wrak, 0,2 Wk__,01,2 Wk__ GLLWS",4,5,,3,"01,1 Wk__","107,00",-,3,3.02,,6,"1,20","353,00","3,60",B_108_235,7.5,,-,Destroyer,5,HMS  BASILISK,,2013/06/01,470852.92,8.75,,5665154.19,"John Brown & Co., Great-Britain",1940/06/01,"Tijdens de evacuatie van Britse troepen uit Duinkerke, werd het konvooi bestaande uit HMS BASILISK, HMS KEITH , HMS SALAMANDER en HMS SKIPJACK aangevallen door Duitse Stuka's. 
Het schip onderging 3 aanvalsgolven. Bij de eerste werd onder andere stookruim 3 geraakt. Hierdoor nam de snelheid af.  Bij de tweede aanval werd het schip niet geraakt. De derde aanval telde vele treffers en bracht het schip tot stilstand. 

De HMS BASILISK zonk in ondiep water. Hoewel het schip snel was ondergegaan bleef het aantal slachtoffers beperkt. Toen het wrak verlaten was vernietigde de HMS Whitehall deze verder om geen documenten en instrumenten (waaronder het Anti Submarine Detection Investigation Committee Systeem, of afgekort ASDIC) in handen van de Duitsers te laten vallen.
De bovenbouw was lange tijd zichtbaar bij laagwater. ","Royal Navy,  Great-Britain",1,Staal,63
Point,2.305342217499634,51.485675954631716,Feature,150,"21,00","002\xb0 18,321 E",99,"32,00","51\xb0 29,141 N",1996 / 19 - 141,3,69.50,Monrovia,,6,1970/11/27,53,"6933,00",1,16,LIBERIAAN,4,,"Gevaarlijk wrak ; 9,8 Wk ; 11,5 Wk__ GLLWS",4,5,-,5,"11,4 Wk__","145,00",?,3,19.56,,253,"11,50",27,,B_129_218,7.5,,-,Vrachtschip,3,GARDEN CITY,,2018/08/29,451767.05,35,,5704064.93,Forges et Chantiers de la Gironde Bordeaux,,"Gezonken op 19 maart 1969 na aanvaring met het  Poolse m/s Zaglebie Dabrowskie (11010 BRT)   Trajekt Antwerpen - Port Sudan - Madagascar.

B_129_218 

Midden 51\xb0 29'.141 - 002\xb0 18'.321
Pt_01  51\xb0 29'.177 - 002\xb0 18'.361
Pt_02  51\xb0 29'.108 - 002\xb0 18'.303

Dieptecijfer gewijzigd naar LAT

- gedregde wrakdiepte 11,5m GLLWS in 1970; bron Oostende 25/158-70 (en Oostende 1196/129)
- 11,5m GLLWS = 11,4mLAT (Omzetting volgens Vlaamse Hydrografie)",1968 Atlantic Maritime CO Ltd Monrovia Liberia,1,staal,252
